,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
1827,Havlíček Josef,,48,Otevřená radnice Most,Hora 2014,BEZPP,41,349,2.04,0,0,2018
1828,Havlůj Aleš Ing.,Ing.,35,Občanská demokratická strana,ODS,ODS,6,1405,2.41,5,0,2018
1829,Hawelka Jan Bc.,Bc.,30,ProMOST,ProMOST,BEZPP,29,4356,2.18,13,0,2018
1830,Hejný Marian Ing.,Ing.,38,Starost. a nezáv. s podp.Toryů,NK,BEZPP,7,265,2.64,0,0,2018
1831,Hejtmánková Magdaléna,,40,Piráti a Zelení pro Most,Piráti,BEZPP,25,1314,2.16,21,0,2018
1832,Hek Jaromír,,68,Komunistická str.Čech a Moravy,KSČM,KSČM,44,1084,1.97,40,0,2018
1833,Herzogová Kyriaki,,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,41,446,1.97,0,0,2018
1834,Hodek František,,47,Komunistická str.Čech a Moravy,KSČM,KSČM,17,1203,2.19,13,0,2018
1835,Hodek František,,28,Komunistická str.Čech a Moravy,KSČM,BEZPP,35,1166,2.12,31,0,2018
1836,Hodek Pavel,,29,Komunistická str.Čech a Moravy,KSČM,BEZPP,26,1193,2.17,22,0,2018
1837,Hoffmann Karel,,55,"Občané městu, město občanům",OMMO,OMMO,4,146,4.62,0,0,2018
1838,Hofmann Václav PhDr.,PhDr.,64,Občanská demokratická strana,ODS,ODS,5,1553,2.66,4,1,2018
1839,Hofmannová Libuše Bc.,Bc.,27,Občanská demokratická strana,ODS,BEZPP,35,1197,2.05,31,0,2018
1840,Hofmannová Michaela Bc.,Bc.,37,Občanská demokratická strana,ODS,BEZPP,36,1211,2.07,32,0,2018
1841,Holata Radek,,51,Česká str.sociálně demokrat.,ČSSD,ČSSD,5,513,2.27,0,0,2018
1842,Holata Vlastislav,,76,Česká str.sociálně demokrat.,ČSSD,ČSSD,24,475,2.1,0,0,2018
1843,Holcepl Daniel,,29,Česká str.sociálně demokrat.,ČSSD,ČSSD,25,477,2.11,0,0,2018
1844,Horák Radek,,52,Otevřená radnice Most,Hora 2014,BEZPP,31,347,2.0300000000000002,0,0,2018
1845,Hošek Martin,,48,Komunistická str.Čech a Moravy,KSČM,KSČM,2,1367,2.49,3,1,2018
1846,Houska Roman MUDr.,MUDr.,45,Občanská demokratická strana,ODS,BEZPP,8,1673,2.87,3,1,2018
1847,Houška Tomáš,,32,Česká str.sociálně demokrat.,ČSSD,ČSSD,15,481,2.13,0,0,2018
1848,Houšková Helena,,64,ProMOST,ProMOST,BEZPP,19,4390,2.2,3,0,2018
1849,Houzák Ivan,,52,Otevřená radnice Most,Hora 2014,BEZPP,14,382,2.23,0,0,2018
1850,Hrabal Dominik,,35,Starost. a nezáv. s podp.Toryů,NK,BEZPP,20,210,2.09,0,0,2018
1851,Hrdinová Libuše Mgr.,Mgr.,51,Občanská demokratická strana,ODS,ODS,2,1704,2.92,2,1,2018
1852,Hrdlička Luboš,,39,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,37,687,2.2,0,0,2018
1853,Hrdlička Václav,,44,Sdružení Mostečané Mostu,NK,BEZPP,18,2446,2.2,10,0,2018
1854,Hrib Milan,,53,Sdružení Mostečané Mostu,NS,S.cz,17,2480,2.23,9,0,2018
1855,Hrneček Jaroslav,,80,Komunistická str.Čech a Moravy,KSČM,KSČM,45,1054,1.92,41,0,2018
1856,Hrneček Jindřich,,58,Komunistická str.Čech a Moravy,KSČM,KSČM,28,1223,2.23,24,0,2018
1857,Hromádková Kristýna,,25,Komunistická str.Čech a Moravy,KSČM,BEZPP,23,1187,2.16,19,0,2018
1858,Hrubá Žaneta,,31,Otevřená radnice Most,Hora 2014,BEZPP,36,351,2.05,0,0,2018
1859,Hrubeš Jan Mgr. Ph.D.,Mgr.,38,Piráti a Zelení pro Most,Zelení,Zelení,4,1567,2.58,4,1,2018
1860,Hrvol Jaroslav Ing.,Ing.,33,ProMOST,ProMOST,BEZPP,45,3850,1.93,29,0,2018
1861,Hrvol Marek Ing.,Ing.,30,ProMOST,ProMOST,ProMOST,6,4611,2.31,6,1,2018
1862,Hudský Marek Ing.,Ing.,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,4,569,2.52,0,0,2018
1863,Hůla Václav,,50,Hnutí za zrovnopráv. maminek,NK,BEZPP,15,157,3.3200000000000003,0,0,2018
1864,Hvězdová Ivana Mgr.,Mgr.,55,ANO 2011,ANO,ANO,5,2678,2.4,5,1,2018
1865,Hýna Daniel,,23,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,24,698,2.23,0,0,2018
1866,Hýnová Kristýna,,22,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,41,672,2.15,0,0,2018
1867,Hýsek Josef Ing.,Ing.,64,Komunistická str.Čech a Moravy,KSČM,KSČM,42,1119,2.04,38,0,2018
1868,Charvátová Lenka Bc.,Bc.,39,Sdružení Mostečané Mostu,NK,BEZPP,15,2479,2.23,7,0,2018
1869,Chejn Jan,,63,Sdružení Mostečané Mostu,NK,BEZPP,23,2460,2.22,15,0,2018
1870,Chotová Jana Ing.,Ing.,56,Starost. a nezáv. s podp.Toryů,NK,BEZPP,35,214,2.13,0,0,2018
1871,Jahelková Jana,,68,Komunistická str.Čech a Moravy,KSČM,KSČM,37,1150,2.09,33,0,2018
1872,Jakešová Lucie,,38,Otevřená radnice Most,Hora 2014,BEZPP,7,403,2.36,0,0,2018
1873,Jakš Zbyněk,,49,ProMOST,ProMOST,BEZPP,20,4434,2.22,4,0,2018
1874,Jandera Lubomír Mgr.,Mgr.,42,Sdružení Mostečané Mostu,NK,BEZPP,34,2446,2.2,26,0,2018
1875,Jandová Lenka,,52,"Občané městu, město občanům",OMMO,BEZPP,7,142,4.5,0,0,2018
1876,Jandová Stewa,,72,Hnutí za zrovnopráv. maminek,NK,BEZPP,42,85,1.79,0,0,2018
1877,Janečková Alena,,25,Piráti a Zelení pro Most,Zelení,BEZPP,44,1113,1.83,40,0,2018
1878,Jarolímová Marie Mgr.,Mgr.,48,Piráti a Zelení pro Most,Zelení,BEZPP,26,1320,2.17,22,0,2018
1879,Jelíková Irena,,46,ANO 2011,ANO,BEZPP,34,2428,2.17,25,0,2018
1880,Jelínek Jiří,,48,Občanská demokratická strana,ODS,BEZPP,34,1201,2.06,30,0,2018
1881,Jelínek Jiří,,32,Starost. a nezáv. s podp.Toryů,NK,BEZPP,11,207,2.06,0,0,2018
1882,Jelínek Stanislav,,26,Komunistická str.Čech a Moravy,KSČM,KSČM,14,1204,2.19,10,0,2018
1883,Jelínek Tomáš,,25,Piráti a Zelení pro Most,Piráti,BEZPP,39,1253,2.06,35,0,2018
1884,Jelínková Iveta,,49,Komunistická str.Čech a Moravy,KSČM,KSČM,6,1315,2.39,2,0,2018
1885,Jína Jan Mgr.,Mgr.,29,Česká str.sociálně demokrat.,ČSSD,ČSSD,19,480,2.13,0,0,2018
1886,Jindřichová Věra,,57,Komunistická str.Čech a Moravy,KSČM,KSČM,32,1191,2.17,28,0,2018
1887,Jírovec Václav,,69,Komunistická str.Čech a Moravy,KSČM,KSČM,11,1337,2.43,7,0,2018
1888,Jochman František Ing.,Ing.,69,Komunistická str.Čech a Moravy,KSČM,KSČM,40,1160,2.11,36,0,2018
1889,Jung Jiří,,68,Komunistická str.Čech a Moravy,KSČM,BEZPP,33,1172,2.13,29,0,2018
1890,Jung Zdeněk,,36,Komunistická str.Čech a Moravy,KSČM,KSČM,7,1262,2.3000000000000003,3,0,2018
1891,Jungmann Dominik,,19,Komunistická str.Čech a Moravy,KSČM,BEZPP,29,1179,2.15,25,0,2018
1892,Jungmann Martin,,49,Komunistická str.Čech a Moravy,KSČM,KSČM,9,1240,2.2600000000000002,5,0,2018
1893,Jungmannová Jana Mgr.,Mgr.,39,Piráti a Zelení pro Most,Zelení,BEZPP,12,1438,2.36,9,0,2018
1894,Kabeláč Petr,,52,ProMOST,ProMOST,BEZPP,34,4301,2.16,18,0,2018
1895,Kabele Jakub,,30,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,42,664,2.12,0,0,2018
1896,Kačer František Ing.,Ing.,60,Hnutí za zrovnopráv. maminek,TOP 09,TOP 09,1,199,4.21,0,0,2018
1897,Kačerová Michaela Ing.,Ing.,35,Hnutí za zrovnopráv. maminek,NK,BEZPP,24,100,2.11,0,0,2018
1898,Kadlecová Veronika,,21,Česká str.sociálně demokrat.,ČSSD,ČSSD,33,484,2.14,0,0,2018
1899,Karafa Mario,,27,"Občané městu, město občanům",OMMO,BEZPP,16,129,4.09,0,0,2018
1900,Karkoška Petr,,62,Otevřená radnice Most,Hora 2014,BEZPP,34,356,2.08,0,0,2018
1901,Karoch Jaroslav,,59,ANO 2011,ANO,BEZPP,24,2480,2.22,15,0,2018
1902,Kasal Pavel MUDr.,MUDr.,53,ProMOST,ProMOST,BEZPP,31,4467,2.24,15,0,2018
1903,Kasalová Michaela Ing.,Ing.,30,ProMOST,ProMOST,BEZPP,43,4060,2.04,27,0,2018
1904,Kastnerová Dagmar,,39,"Občané městu, město občanům",OMMO,BEZPP,12,139,4.4,0,0,2018
1905,Kaše Petr,,46,Hnutí za zrovnopráv. maminek,TOP 09,TOP 09,2,141,2.98,0,0,2018
1906,Kašová Adéla,,24,Hnutí za zrovnopráv. maminek,NK,BEZPP,45,87,1.84,0,0,2018
1907,Kavický Pavel,,36,Otevřená radnice Most,Hora 2014,BEZPP,22,357,2.09,0,0,2018
1908,Kendralová Tereza,,30,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,32,692,2.21,0,0,2018
1909,Kestler Radek,,43,Hnutí za zrovnopráv. maminek,NK,BEZPP,43,83,1.75,0,0,2018
1910,Kirschová Lucie,,68,ANO 2011,ANO,BEZPP,38,2379,2.13,29,0,2018
1911,Klíma Petr Ing.,Ing.,61,Sdružení Mostečané Mostu,NK,BEZPP,31,2429,2.19,23,0,2018
1912,Klimpl Zbyšek,,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,43,467,2.07,0,0,2018
1913,Kočár Aleš MUDr.,MUDr.,58,Otevřená radnice Most,Hora 2014,BEZPP,10,411,2.4,0,0,2018
1914,Kolaříková Lucie Bc.,Bc.,33,Občanská demokratická strana,ODS,BEZPP,13,1317,2.25,10,0,2018
1915,Kolářský Vladimír,,55,ANO 2011,ANO,ANO,12,2502,2.24,3,0,2018
1916,Kolman Zdeněk,,54,Hnutí za zrovnopráv. maminek,NK,BEZPP,20,125,2.64,0,0,2018
1917,Kolminovská Ivana,,39,"Občané městu, město občanům",OMMO,BEZPP,17,129,4.09,0,0,2018
1918,Komenda Adam Bc.,Bc.,27,Piráti a Zelení pro Most,Piráti,Piráti,1,1562,2.57,1,0,2018
1919,Komenda Daniel,,25,Piráti a Zelení pro Most,Piráti,Piráti,9,1361,2.24,7,0,2018
1920,Komenda Pavel Ing.,Ing.,54,Piráti a Zelení pro Most,Piráti,BEZPP,21,1344,2.21,17,0,2018
1921,Komendová Jana,,42,Piráti a Zelení pro Most,Piráti,BEZPP,35,1287,2.12,31,0,2018
1922,Komendová Zdeňka,,79,Piráti a Zelení pro Most,Piráti,BEZPP,45,1058,1.74,41,0,2018
1923,Končel Petr MUDr.,MUDr.,60,Piráti a Zelení pro Most,Zelení,Zelení,14,1572,2.58,3,1,2018
1924,Koppová Miluše,,59,ANO 2011,ANO,BEZPP,30,2466,2.21,21,0,2018
1925,Koranda Jiří Ing.,Ing.,60,Sdružení Mostečané Mostu,NS,S.cz,14,2458,2.21,6,0,2018
1926,Korba Jan Ing. MBA,Ing.,45,ProMOST,ProMOST,BEZPP,21,4474,2.24,5,0,2018
1927,Kováč Kamil,,45,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,13,717,2.29,0,0,2018
1928,Kraitl Karel,,46,Česká str.sociálně demokrat.,ČSSD,ČSSD,8,568,2.52,0,0,2018
1929,Krajovský Pavel,,25,Sdružení Mostečané Mostu,NK,BEZPP,13,2478,2.23,5,0,2018
1930,Král Petr Ing.,Ing.,62,Hnutí za zrovnopráv. maminek,NK,BEZPP,21,101,2.13,0,0,2018
1931,Krastenicsová Radmila Ing.,Ing.,51,Komunistická str.Čech a Moravy,KSČM,KSČM,15,1273,2.32,11,0,2018
1932,Kraus Jiří,,43,Piráti a Zelení pro Most,Zelení,BEZPP,10,1689,2.7800000000000002,1,1,2018
1933,Krhounek Jiří MUDr.,MUDr.,63,Občanská demokratická strana,ODS,ODS,10,1432,2.45,3,0,2018
1934,Kroftová Kateřina,,35,Otevřená radnice Most,Hora 2014,BEZPP,6,380,2.22,0,0,2018
1935,Kubal Josef,,71,Občanská demokratická strana,ODS,ODS,15,1281,2.19,12,0,2018
1936,Kubal Tomáš,,44,Občanská demokratická strana,ODS,ODS,3,1467,2.5100000000000002,1,0,2018
1937,Kubík Vladimír,,65,ProMOST,ProMOST,ProMOST,14,4411,2.21,14,1,2018
1938,Kučera Miroslav,,39,Otevřená radnice Most,Hora 2014,BEZPP,13,371,2.17,0,0,2018
1939,Kuda Jan Mgr.,Mgr.,42,ProMOST,ProMOST,BEZPP,24,4391,2.2,8,0,2018
1940,Kudrlička Jaroslav Ing.,Ing.,57,Občanská demokratická strana,ODS,BEZPP,45,982,1.68,41,0,2018
1941,Kunc Jan,,19,Piráti a Zelení pro Most,Piráti,Piráti,5,1363,2.24,4,0,2018
1942,Kunz Vilém Ing. Ph.D.,Ing.,44,ProMOST,ProMOST,BEZPP,35,4393,2.2,19,0,2018
1943,Kurcin Jiří,,69,Sdružení Mostečané Mostu,NK,BEZPP,16,2525,2.27,8,0,2018
1944,Kurcin Radek,,45,Sdružení Mostečané Mostu,NK,KSČM,29,2440,2.2,21,0,2018
1945,Kurková Kateřina Ing.,Ing.,42,Sdružení Mostečané Mostu,NK,BEZPP,33,2449,2.21,25,0,2018
1946,Kvapilová Monika,,45,Otevřená radnice Most,Hora 2014,BEZPP,16,363,2.12,0,0,2018
1947,Lacek Petr Ing.,Ing.,44,Piráti a Zelení pro Most,Zelení,Zelení,20,1324,2.18,16,0,2018
1948,Lachman Pavel,,56,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,4,753,2.41,0,0,2018
1949,Lejsek Miroslav,,66,Otevřená radnice Most,Hora 2014,BEZPP,19,363,2.12,0,0,2018
1950,Lenartovič Radek,,44,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,5,750,2.4,0,0,2018
1951,Leština Marek,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,16,517,2.29,0,0,2018
1952,Libecajtová Lucie,,40,Sdružení Mostečané Mostu,NK,BEZPP,4,2563,2.31,5,1,2018
1953,Lindová Andrea,,26,Otevřená radnice Most,Hora 2014,BEZPP,28,358,2.09,0,0,2018
1954,Lisický Pavel MUDr.,MUDr.,43,ProMOST,ProMOST,BEZPP,27,4477,2.25,11,0,2018
1955,Listopad Radek Ing.,Ing.,30,Občanská demokratická strana,ODS,BEZPP,44,1027,1.76,40,0,2018
1956,Litto Vlastimil Mgr. Bc. DiS.,Bc.,56,Otevřená radnice Most,Hora 2014,BEZPP,3,473,2.77,0,0,2018
1957,Lodr Jan,,54,Hnutí za zrovnopráv. maminek,NK,BEZPP,41,82,1.73,0,0,2018
1958,Lodrová Jaroslava,,51,Hnutí za zrovnopráv. maminek,NK,BEZPP,33,85,1.79,0,0,2018
1959,Lorencová Zdena,,35,Hnutí za zrovnopráv. maminek,NK,BEZPP,14,97,2.05,0,0,2018
1960,Losos Martin,,41,Sdružení Mostečané Mostu,NK,BEZPP,32,2437,2.19,24,0,2018
1961,Lžičař Luboš,,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,21,496,2.2,0,0,2018
1962,Macho Jana Mgr.,Mgr.,59,Hnutí za zrovnopráv. maminek,NK,BEZPP,9,132,2.79,0,0,2018
1963,Machová Kateřina Ing.,Ing.,37,Občanská demokratická strana,ODS,BEZPP,23,1289,2.21,19,0,2018
1964,Machovec Milan Ing.,Ing.,55,Hnutí za zrovnopráv. maminek,NK,BEZPP,5,149,3.15,0,0,2018
1965,Makula Emil,,69,ANO 2011,ANO,BEZPP,44,2125,1.9000000000000001,35,0,2018
1966,Makulová Eliška,,67,ANO 2011,ANO,BEZPP,45,2010,1.8,36,0,2018
1967,Malá Sára,,19,Piráti a Zelení pro Most,Zelení,BEZPP,34,1311,2.15,30,0,2018
1968,Málek Ondřej Ing.,Ing.,32,ProMOST,ProMOST,ProMOST,8,4450,2.23,8,1,2018
1969,Málek Viktor JUDr.,JUDr.,72,ProMOST,ProMOST,BEZPP,42,4121,2.07,26,0,2018
1970,Malý Alois,,73,ProMOST,ProMOST,ProMOST,7,4447,2.23,7,1,2018
1971,Marek Martin,,27,ANO 2011,ANO,BEZPP,31,2441,2.18,22,0,2018
1972,Marek Michal,,41,Občanská demokratická strana,ODS,ODS,16,1273,2.18,13,0,2018
1973,Marinkov Radko,,47,ProMOST,ProMOST,BEZPP,37,4404,2.21,21,0,2018
1974,Martinková Kateřina,,22,Otevřená radnice Most,Hora 2014,BEZPP,12,379,2.22,0,0,2018
1975,Martinovský Martin,,51,Piráti a Zelení pro Most,Zelení,BEZPP,16,1323,2.17,12,0,2018
1976,Matas Jaroslav,,47,Hnutí za zrovnopráv. maminek,NK,BEZPP,8,105,2.22,0,0,2018
1977,Matějka Svatopluk Mgr.,Mgr.,63,Sdružení Mostečané Mostu,NK,BEZPP,8,2664,2.4,1,0,2018
1978,Matějková Irena Mgr.,Mgr.,65,ProMOST,ProMOST,BEZPP,33,4373,2.19,17,0,2018
1979,Matoušková Tereza Ing.,Ing.,28,Starost. a nezáv. s podp.Toryů,NK,BEZPP,45,181,1.8,0,0,2018
1980,Mayerová Jaroslava,,69,"Občané městu, město občanům",OMMO,BEZPP,18,128,4.05,0,0,2018
1981,Mejstříková Lubomíra Ing. CSc.,Ing.,61,ANO 2011,ANO,ANO,2,2702,2.42,2,1,2018
1982,Menclík Václav,,49,Hnutí za zrovnopráv. maminek,NK,BEZPP,23,102,2.15,0,0,2018
1983,Menich Janeček Šárka,,47,Piráti a Zelení pro Most,Piráti,BEZPP,17,1340,2.2,13,0,2018
1984,Michajlov Tereza,,24,Hnutí za zrovnopráv. maminek,NK,BEZPP,11,90,1.9000000000000001,0,0,2018
1985,Michal Tomáš Bc.,Bc.,38,Hnutí za zrovnopráv. maminek,TOP 09,TOP 09,19,115,2.43,0,0,2018
1986,Michálková Hana,,41,Starost. a nezáv. s podp.Toryů,NK,BEZPP,18,197,1.96,0,0,2018
1987,Michalová Veronika Mgr. & Mgr.,Mgr.,32,Hnutí za zrovnopráv. maminek,TOP 09,TOP 09,16,119,2.5100000000000002,0,0,2018
1988,Mikulášek Daniel,,54,Starost. a nezáv. s podp.Toryů,NK,BEZPP,36,174,1.73,0,0,2018
1989,Mikulášková Markéta Mgr.,Mgr.,51,Starost. a nezáv. s podp.Toryů,NK,BEZPP,31,200,1.99,0,0,2018
1990,Mikulová Alenka,,70,ANO 2011,ANO,BEZPP,43,2202,1.97,34,0,2018
1991,Minčák Jiří,,59,Sdružení Mostečané Mostu,NK,BEZPP,45,2153,1.94,37,0,2018
1992,Miškolci Roman,,34,Starost. a nezáv. s podp.Toryů,NK,BEZPP,15,207,2.06,0,0,2018
1993,Moravec Bohumil Ing. Bc. MBA,Ing.,30,Komunistická str.Čech a Moravy,KSČM,BEZPP,8,1254,2.2800000000000002,4,0,2018
1994,Mrštík Pavel,,25,Komunistická str.Čech a Moravy,KSČM,KSČM,10,1201,2.19,6,0,2018
1995,Mudroch Karel,,58,Starost. a nezáv. s podp.Toryů,STAN,BEZPP,9,247,2.46,0,0,2018
1996,Müller Slavomír,,43,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,39,678,2.17,0,0,2018
1997,Müllnerová Karolína,,48,Starost. a nezáv. s podp.Toryů,NK,BEZPP,26,197,1.96,0,0,2018
1998,Mynaříková Petra,,33,Hnutí za zrovnopráv. maminek,NK,BEZPP,28,84,1.77,0,0,2018
1999,Najdenov Jiří,,42,Piráti a Zelení pro Most,Piráti,Piráti,7,1394,2.29,5,0,2018
2000,Nájemník David,,22,"Občané městu, město občanům",OMMO,BEZPP,15,146,4.62,0,0,2018
2001,Nájemníková Janšová Lucie Ing.,Ing.,34,"Občané městu, město občanům",OMMO,BEZPP,6,185,5.86,0,0,2018
2002,Navrátil Dalibor,,32,Sdružení Mostečané Mostu,NK,BEZPP,39,2355,2.12,31,0,2018
2003,Nebesářová Eva,,52,Starost. a nezáv. s podp.Toryů,NK,BEZPP,44,184,1.83,0,0,2018
2004,Nedvěd Jiří Ing.,Ing.,33,ProMOST,ProMOST,ProMOST,11,4599,2.31,11,1,2018
2005,Nechanická Renata,,47,Starost. a nezáv. s podp.Toryů,NK,BEZPP,40,169,1.68,0,0,2018
2006,Nechanický Jaroslav,,48,Starost. a nezáv. s podp.Toryů,NK,BEZPP,30,196,1.95,0,0,2018
2007,Nekolová Alena,,62,Česká str.sociálně demokrat.,ČSSD,ČSSD,38,468,2.07,0,0,2018
2008,Němcová Pavlína Ing.,Ing.,51,ProMOST,ProMOST,BEZPP,36,4268,2.14,20,0,2018
2009,Nesládek Petr Akad. arch.,Akad.,59,ProMOST,ProMOST,BEZPP,44,3960,1.99,28,0,2018
2010,Nešporová Blanka,,58,Sdružení Mostečané Mostu,NS,S.cz,5,2579,2.32,6,1,2018
2011,Néveri Štefan,,56,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,43,653,2.09,0,0,2018
2012,Nodesová Karolína,,18,Piráti a Zelení pro Most,Zelení,BEZPP,30,1321,2.17,26,0,2018
2013,Nosek Martin,,46,Komunistická str.Čech a Moravy,KSČM,KSČM,25,1195,2.17,21,0,2018
2014,Novák Jiří Ing.,Ing.,72,Komunistická str.Čech a Moravy,KSČM,KSČM,5,1316,2.4,1,0,2018
2015,Nováková Jaroslava Ing.,Ing.,46,ANO 2011,ANO,BEZPP,25,2479,2.22,16,0,2018
2016,Novotná Jiřina,,78,Otevřená radnice Most,Hora 2014,BEZPP,30,348,2.0300000000000002,0,0,2018
2017,Novotná Klára,,23,Hnutí za zrovnopráv. maminek,NK,BEZPP,29,86,1.82,0,0,2018
2018,Novotná Lenka,,43,Hnutí za zrovnopráv. maminek,NK,BEZPP,34,89,1.8800000000000001,0,0,2018
2019,Novotný Kamil Ing.,Ing.,58,Otevřená radnice Most,NK,BEZPP,2,528,3.09,0,0,2018
2020,"Novotný Karel Mgr. MBA, LL.M",,52,Otevřená radnice Most,NK,BEZPP,1,584,3.42,0,0,2018
2021,Novotný Petr,,45,Otevřená radnice Most,Hora 2014,BEZPP,45,316,1.85,0,0,2018
2022,Nový Milan,,65,Hnutí za zrovnopráv. maminek,NK,BEZPP,27,97,2.05,0,0,2018
2023,Ondrášek Tomáš Ing.,Ing.,63,Sdružení Mostečané Mostu,NK,BEZPP,3,2752,2.48,2,1,2018
2024,Ozaňák Jakub Bc.,Bc.,31,Občanská demokratická strana,ODS,ODS,4,1414,2.42,4,0,2018
2025,Ozaňáková Monika,,29,Občanská demokratická strana,ODS,BEZPP,38,1175,2.0100000000000002,34,0,2018
2026,Paďourek Ivo Ing.,Ing.,69,Sdružení Mostečané Mostu,NK,BEZPP,41,2346,2.11,33,0,2018
2027,Pachman Lubomír,,65,ANO 2011,ANO,BEZPP,15,2529,2.2600000000000002,6,0,2018
2028,Paluska Petr,,54,Starost. a nezáv. s podp.Toryů,NK,BEZPP,16,219,2.18,0,0,2018
2029,Panocha Jan Mgr.,Mgr.,41,Piráti a Zelení pro Most,Zelení,Zelení,8,1457,2.4,6,0,2018
2030,Paparega Jan Mgr.,Mgr.,37,ProMOST,ProMOST,ProMOST,1,5102,2.56,2,1,2018
2031,Paroubková Jana,,37,Hnutí za zrovnopráv. maminek,NK,BEZPP,44,88,1.86,0,0,2018
2032,Pařil Lubomír,,33,Piráti a Zelení pro Most,Zelení,BEZPP,32,1314,2.16,28,0,2018
2033,Pašek Michael,,26,Piráti a Zelení pro Most,Piráti,BEZPP,29,1315,2.16,25,0,2018
2034,Paurová Jana,,31,Hnutí za zrovnopráv. maminek,NK,BEZPP,26,108,2.2800000000000002,0,0,2018
2035,Pavlová Karolína DiS.,DiS.,24,Komunistická str.Čech a Moravy,KSČM,BEZPP,21,1206,2.19,17,0,2018
2036,Pazourek Jan Ing.,Ing.,26,Piráti a Zelení pro Most,Piráti,BEZPP,31,1316,2.16,27,0,2018
2037,Pecková Anna,,34,Komunistická str.Čech a Moravy,KSČM,BEZPP,36,1153,2.1,32,0,2018
2038,Pelc František,,52,"Občané městu, město občanům",OMMO,BEZPP,13,146,4.62,0,0,2018
2039,Pelcman Miroslav,,61,Občanská demokratická strana,ODS,BEZPP,41,1160,1.99,37,0,2018
2040,Pergl Petr,,45,Občanská demokratická strana,ODS,ODS,24,1275,2.18,20,0,2018
2041,Pešta Miroslav,,60,Piráti a Zelení pro Most,Zelení,BEZPP,36,1280,2.1,32,0,2018
2042,Peštová Berenika Ing. Ph.D.,Ing.,47,ANO 2011,ANO,ANO,1,2917,2.61,1,1,2018
2043,Pidrmanová Květoslava,,67,Komunistická str.Čech a Moravy,KSČM,KSČM,41,1127,2.05,37,0,2018
2044,Pícha Martin,,26,Piráti a Zelení pro Most,Piráti,Piráti,3,1437,2.36,3,0,2018
2045,Píchová Kateřina,,28,Piráti a Zelení pro Most,Piráti,BEZPP,41,1221,2.0100000000000002,37,0,2018
2046,Píchová Šárka,,29,Česká str.sociálně demokrat.,ČSSD,ČSSD,7,524,2.32,0,0,2018
2047,Pinter Pavel,,59,Otevřená radnice Most,Hora 2014,BEZPP,29,368,2.15,0,0,2018
2048,Piroš Kamil,,39,Občanská demokratická strana,ODS,BEZPP,14,1383,2.37,11,0,2018
2049,Piroš Vladimír,,69,Občanská demokratická strana,ODS,BEZPP,20,1274,2.18,17,0,2018
2050,Pištěk Martin,,40,Sdružení Mostečané Mostu,NK,BEZPP,22,2429,2.19,14,0,2018
2051,Pitín Luboš Ing.,Ing.,54,Sdružení Mostečané Mostu,NS,S.cz,9,2576,2.32,2,0,2018
2052,Pochobradská Michaela,,31,Hnutí za zrovnopráv. maminek,NK,BEZPP,25,94,1.98,0,0,2018
2053,Pokorný Martin,,40,Hnutí za zrovnopráv. maminek,NK,BEZPP,36,87,1.84,0,0,2018
2054,Polák Jakub Ing.,Ing.,30,Otevřená radnice Most,Hora 2014,BEZPP,25,367,2.14,0,0,2018
2055,Polanský Luboš Ing. arch.,Ing.,46,Starost. a nezáv. s podp.Toryů,NK,TOR,8,319,3.18,0,0,2018
2056,Polanský Petr,,44,"Občané městu, město občanům",OMMO,BEZPP,5,166,5.26,0,0,2018
2057,Polanský Tomáš MUDr.,MUDr.,44,Starost. a nezáv. s podp.Toryů,NK,BEZPP,12,298,2.97,0,0,2018
2058,Polášek Patrik Ing.,Ing.,33,Starost. a nezáv. s podp.Toryů,NK,BEZPP,3,268,2.67,0,0,2018
2059,Polívka Jiří,,66,Komunistická str.Čech a Moravy,KSČM,KSČM,3,1315,2.39,4,1,2018
2060,Polívková Světlana,,58,Komunistická str.Čech a Moravy,KSČM,BEZPP,30,1203,2.19,26,0,2018
2061,Poncar Marek Ing.,Ing.,33,ProMOST,ProMOST,BEZPP,30,4327,2.17,14,0,2018
2062,Pöschl Pavel,,56,Otevřená radnice Most,Hora 2014,BEZPP,8,380,2.22,0,0,2018
2063,Pöschlová Jitka,,50,Otevřená radnice Most,Hora 2014,BEZPP,24,360,2.1,0,0,2018
